GeoName,Description,2017,2018,2019
Alabama,Real GDP (millions of chained 2012 dollars)  ,197566.6,200800.9,203383.9
Alabama,Chain-type quantity indexes for real GDP,104.397,106.106,107.471
Alabama,Current-dollar GDP (millions of current dollars),215085.9,224046.9,231171.8
Alabama,Compensation (millions of dollars),116653.1,121648.4,126982.8
Alabama,Gross operating surplus (millions of dollars),85542.6,88794.7,90113.8
Alabama,Taxes on production and imports (TOPI) less subsides (millions of dollars),12890.3,13603.9,14075.3
Alabama, Taxes on production and imports (TOPI) (millions of dollars),13465.3,14093.5,14692.9
Alabama, Subsidies (millions of dollars),-575,-489.6,-617.6
Alaska,Real GDP (millions of chained 2012 dollars)  ,54129.5,53249.6,53336.5
Alaska,Chain-type quantity indexes for real GDP,92.873,91.363,91.512
Alaska,Current-dollar GDP (millions of current dollars),53089.3,54711.7,54547.1
Alaska,Compensation (millions of dollars),27133,28299.9,29108
Alaska,Gross operating surplus (millions of dollars),22290.2,22145.8,21075.6
Alaska,Taxes on production and imports (TOPI) less subsides (millions of dollars),3666.2,4266.1,4363.5
Alaska, Taxes on production and imports (TOPI) (millions of dollars),3773.7,4377.3,4476.4
Alaska, Subsidies (millions of dollars),-107.5,-111.3,-112.9
Arizona,Real GDP (millions of chained 2012 dollars)  ,302455.4,313618.7,323894.3
Arizona,Chain-type quantity indexes for real GDP,111.426,115.539,119.324
Arizona,Current-dollar GDP (millions of current dollars),330416.1,349907.5,369988.2
Arizona,Compensation (millions of dollars),180958.5,193037.3,204327.8
Arizona,Gross operating surplus (millions of dollars),127579.8,133408,141253.7
Arizona,Taxes on production and imports (TOPI) less subsides (millions of dollars),21877.9,23462.1,24406.7
Arizona, Taxes on production and imports (TOPI) (millions of dollars),22626.6,24264.1,25240.9
Arizona, Subsidies (millions of dollars),-748.8,-802,-834.2
Arkansas,Real GDP (millions of chained 2012 dollars)  ,113885.2,115937.6,116790.9
Arkansas,Chain-type quantity indexes for real GDP,104.971,106.863,107.649
Arkansas,Current-dollar GDP (millions of current dollars),122350.2,127306.5,130839.9
Arkansas,Compensation (millions of dollars),68619.4,70996.5,73514.4
Arkansas,Gross operating surplus (millions of dollars),44820.2,47015.3,48326.3
Arkansas,Taxes on production and imports (TOPI) less subsides (millions of dollars),8910.6,9294.7,8999.1
Arkansas, Taxes on production and imports (TOPI) (millions of dollars),9705.8,10101.9,10180.7
Arkansas, Subsidies (millions of dollars),-795.2,-807.2,-1181.6
California,Real GDP (millions of chained 2012 dollars)  ,2541769.3,2643576.3,2739343.4
California,Chain-type quantity indexes for real GDP,120.286,125.104,129.636
California,Current-dollar GDP (millions of current dollars),2730973.9,2895101,3052645.2
California,Compensation (millions of dollars),1452842.6,1531503.1,1615149.1
California,Gross operating surplus (millions of dollars),1112086.6,1181112.3,1235258.4
California,Taxes on production and imports (TOPI) less subsides (millions of dollars),166044.8,182485.5,202237.8
California, Taxes on production and imports (TOPI) (millions of dollars),173509.3,190252,210270.1
California, Subsidies (millions of dollars),-7464.5,-7766.5,-8032.4
Colorado,Real GDP (millions of chained 2012 dollars)  ,329960.6,342535.9,356773.6
Colorado,Chain-type quantity indexes for real GDP,119.195,123.738,128.881
Colorado,Current-dollar GDP (millions of current dollars),348898.1,371424.6,392218
Colorado,Compensation (millions of dollars),193502,206054.1,219975.9
Colorado,Gross operating surplus (millions of dollars),134076.3,142335.4,148662.7
Colorado,Taxes on production and imports (TOPI) less subsides (millions of dollars),21319.8,23035.1,23579.4
Colorado, Taxes on production and imports (TOPI) (millions of dollars),22457.6,24154,24793.2
Colorado, Subsidies (millions of dollars),-1137.8,-1118.9,-1213.8
Connecticut,Real GDP (millions of chained 2012 dollars)  ,247358.5,249998.1,251495.1
Connecticut,Chain-type quantity indexes for real GDP,102.676,103.772,104.393
Connecticut,Current-dollar GDP (millions of current dollars),271582.6,280692,288109.1
Connecticut,Compensation (millions of dollars),140689,143619.2,147056.2
Connecticut,Gross operating surplus (millions of dollars),112460.9,117029,120457.8
Connecticut,Taxes on production and imports (TOPI) less subsides (millions of dollars),18432.8,20043.8,20595.1
Connecticut, Taxes on production and imports (TOPI) (millions of dollars),18996.4,20628,21186.5
Connecticut, Subsidies (millions of dollars),-563.6,-584.2,-591.4
Delaware,Real GDP (millions of chained 2012 dollars)  ,60801.2,61735.1,64262.4
Delaware,Chain-type quantity indexes for real GDP,97.509,99.007,103.06
Delaware,Current-dollar GDP (millions of current dollars),68763.8,72488,77042.2
Delaware,Compensation (millions of dollars),32026.2,33276,34588.9
Delaware,Gross operating surplus (millions of dollars),32884.6,35073.3,38066.6
Delaware,Taxes on production and imports (TOPI) less subsides (millions of dollars),3853,4138.7,4386.7
Delaware, Taxes on production and imports (TOPI) (millions of dollars),4041.5,4322.7,4589.5
Delaware, Subsidies (millions of dollars),-188.5,-184,-202.8
District of Columbia,Real GDP (millions of chained 2012 dollars)  ,120898.9,123836.1,124990.3
District of Columbia,Chain-type quantity indexes for real GDP,107.794,110.413,111.442
District of Columbia,Current-dollar GDP (millions of current dollars),133391.2,139784.8,144405.7
District of Columbia,Compensation (millions of dollars),91690.8,96532.1,99285.9
District of Columbia,Gross operating surplus (millions of dollars),37255.1,38546.9,40041
District of Columbia,Taxes on production and imports (TOPI) less subsides (millions of dollars),4445.3,4705.8,5078.8
District of Columbia, Taxes on production and imports (TOPI) (millions of dollars),5234.4,5567,5941.3
District of Columbia, Subsidies (millions of dollars),-789.1,-861.2,-862.5
Florida,Real GDP (millions of chained 2012 dollars)  ,912966.2,943463.4,971619.2
Florida,Chain-type quantity indexes for real GDP,117.266,121.183,124.799
Florida,Current-dollar GDP (millions of current dollars),1002568.1,1057862.3,1116435.4
Florida,Compensation (millions of dollars),542014.4,574986.9,605957.5
Florida,Gross operating surplus (millions of dollars),378542.9,395362.3,418578.6
Florida,Taxes on production and imports (TOPI) less subsides (millions of dollars),82010.8,87513.2,91899.4
Florida, Taxes on production and imports (TOPI) (millions of dollars),84521.1,90135.9,94690.8
Florida, Subsidies (millions of dollars),-2510.3,-2622.7,-2791.4
Georgia,Real GDP (millions of chained 2012 dollars)  ,524874.7,539300.3,558277.3
Georgia,Chain-type quantity indexes for real GDP,117.221,120.443,124.681
Georgia,Current-dollar GDP (millions of current dollars),574404.4,602340.1,637798.7
Georgia,Compensation (millions of dollars),301759,315641.7,330416.9
Georgia,Gross operating surplus (millions of dollars),241383.4,251826.6,270875.2
Georgia,Taxes on production and imports (TOPI) less subsides (millions of dollars),31262,34871.8,36506.6
Georgia, Taxes on production and imports (TOPI) (millions of dollars),32658.7,36232.7,38250.9
Georgia, Subsidies (millions of dollars),-1396.7,-1361,-1744.3
Hawaii,Real GDP (millions of chained 2012 dollars)  ,78941.6,79854.7,79175.4
Hawaii,Chain-type quantity indexes for real GDP,109.786,111.055,110.111
Hawaii,Current-dollar GDP (millions of current dollars),87177.8,90276.4,91781.1
Hawaii,Compensation (millions of dollars),47525.9,49010,50233.1
Hawaii,Gross operating surplus (millions of dollars),31682.1,32467.2,32463.3
Hawaii,Taxes on production and imports (TOPI) less subsides (millions of dollars),7969.8,8799.3,9084.7
Hawaii, Taxes on production and imports (TOPI) (millions of dollars),8210.9,9046.1,9343.2
Hawaii, Subsidies (millions of dollars),-241.1,-246.9,-258.4
Idaho,Real GDP (millions of chained 2012 dollars)  ,66980.5,71075.4,73912
