State,Percentage
Alabama,14.7
Alaska,11.8
Arizona,12.1
Arkansas,15
California,11.4
Colorado,9.1
Connecticut,9.7
Delaware,7.6
District of Columbia,13.7
Florida,12.9
Georgia,13.3
Hawaii,9.4
Idaho,10
Illinois,10.4
Indiana,11.1
Iowa,8.6
Kansas,10.4
Kentucky,14.2
Louisiana,19.1
Maine,11.5
Maryland,7.5
Massachusetts,9.2
Michigan,10.7
Minnesota,7.4
Mississippi,19.1
Missouri,11
Montana,10.1
Nebraska,10.3
Nevada,12.2
New Hampshire,5.6
New Jersey,8.2
New Mexico,17.2
New York,12.1
North Carolina,13.6
North Dakota,10.1
Ohio,12.4
Oklahoma,12.4
Oregon,9.8
Pennsylvania,10.5
Rhode Island,9.8
South Carolina,14.4
South Dakota,10.6
Tennessee,12.1
Texas,12.7
Utah,7.6
Vermont,9
Virginia,9.7
Washington,8.8
West Virginia,15.6
Wisconsin,8.7
Wyoming,10.5
